id,time,snr,rssi,collision,missed_start,missed_end,interrupted
269,135000.07603199998,128.0,8.0,False,False,False,
270,135000.156032,140.0,20.0,False,False,False,
271,136000.07603199998,128.0,8.0,False,False,False,
272,136000.156032,140.0,20.0,False,False,False,
273,137000.07603199998,128.0,8.0,False,False,False,
274,137000.156032,140.0,20.0,False,False,False,
275,138000.07603199998,128.0,8.0,False,False,False,
276,138000.156032,140.0,20.0,False,False,False,
277,139000.07603199998,128.0,8.0,False,False,False,
278,139000.156032,140.0,20.0,False,False,False,
279,140000.07603199998,128.0,8.0,False,False,False,
280,140000.156032,140.0,20.0,False,False,False,
281,141000.07603199998,128.0,8.0,False,False,False,
282,141000.156032,140.0,20.0,False,False,False,
283,142000.07603199998,128.0,8.0,False,False,False,
284,142000.156032,140.0,20.0,False,False,False,
285,143000.07603199998,128.0,8.0,False,False,False,
286,143000.156032,140.0,20.0,False,False,False,
287,144000.07603199998,128.0,8.0,False,False,False,
288,144000.156032,140.0,20.0,False,False,False,
289,145000.07603199998,128.0,8.0,False,False,False,
290,145000.156032,140.0,20.0,False,False,False,
291,146000.07603199998,128.0,8.0,False,False,False,
292,146000.156032,140.0,20.0,False,False,False,
293,147000.07603199998,128.0,8.0,False,False,False,
294,147000.156032,140.0,20.0,False,False,False,
295,148000.07603199998,128.0,8.0,False,False,False,
296,148000.156032,140.0,20.0,False,False,False,
297,149000.07603199998,128.0,8.0,False,False,False,
298,149000.156032,140.0,20.0,False,False,False,
299,150000.07603199998,128.0,8.0,False,False,False,
300,150000.156032,140.0,20.0,False,False,False,
301,151000.07603199998,128.0,8.0,False,False,False,
302,151000.156032,140.0,20.0,False,False,False,
303,152000.07603199998,128.0,8.0,False,False,False,
304,152000.156032,140.0,20.0,False,False,False,
305,153000.07603199998,128.0,8.0,False,False,False,
306,153000.156032,140.0,20.0,False,False,False,
307,154000.07603199998,128.0,8.0,False,False,False,
308,154000.156032,140.0,20.0,False,False,False,
309,155000.07603199998,128.0,8.0,False,False,False,
310,155000.156032,140.0,20.0,False,False,False,
311,156000.07603199998,128.0,8.0,False,False,False,
